순위,검색 키워드,영상 제목,채널명,업로드 날짜,조회수,좋아요수,댓글수,조회수_log
134,韓国女子旅,【韓国旅行】気をつけること4選〜初心者編〜　#korea #韓国 #shorts,March Travelまーちトラベル,2023-06-13,1068748,0,98,13.881999363560155
135,韓国旅行,【韓国旅行】気をつけること4選〜初心者編〜　#korea #韓国 #shorts,March Travelまーちトラベル,2023-06-13,1068748,0,98,13.881999363560155
136,韓国旅行,日本を旅行するaespaのカリナには起きなかったこと,日本ジヌーK-POPに関する全て,2026-03-11,1063847,18587,179,13.877403081535816
137,韓国旅行,★Vlog★食べてばっかりの韓国女子旅！明洞のオリヤンでお買い物！,Kan & Aki's CHANNELかんあきチャンネル,2025-04-01,1057393,7481,233,13.871317948471946
138,韓国女子旅,★Vlog★食べてばっかりの韓国女子旅！明洞のオリヤンでお買い物！,Kan & Aki's CHANNELかんあきチャンネル,2025-04-01,1057393,7481,233,13.871317948471946
139,韓国旅行,韓国旅行で使った金額は...🫣❤️みんな何円くらい使ってるかぜひコメントで教えてください🙋🇰🇷#韓国 #ソウル #韓国旅行 #ソウル旅行 #韓国情報 #NEWT #女子旅,NEWT（ニュート）公式,2023-07-14,1057308,15196,55,13.871237558932568
140,韓国コスメ,最新保存版！リピ無し？あり？人気の韓国リップ全部試して正直レビュー #コスメ #美容 #メイク #韓国コスメ #おすすめ,韓国オンニ【日韓コスメ・スキンケア】,2025-07-07,1054232,22070,97,13.8683240462713
141,韓国コスメ,新大久保で話題の韓国コスメショップ「fwee」に行ってみた  #はねまりチャンネル,はねまりチャンネル・HANEMARI Channel,2024-10-02,1049683,11022,79,13.863999724457498
142,韓国コスメ,知らないと没収😭シートマスク何枚まで韓国から日本に持ち帰れる？ #韓国 #韓国情報 #韓国旅行 #韓国旅行情報 #渡韓 #渡韓情報 #韓国最新情報 #shorts #short,ぼっちな韓国オタク🇰🇷みちゃん,2024-05-06,1042080,23494,58,13.856730233398991
143,韓国女子旅,なすちゃんと韓国女子旅で爆あげハローキティルームに泊まったvlogお見せするけどまじ予想以上にキティで爆笑まじむりぶち上がりwとりまキティ爆買いもした,仲里依紗です。,2024-01-20,1029586,16011,180,13.844668308921715
144,韓国コスメ,これは優秀！！今私がおすすめしたい【韓国コスメ5選🇰🇷】#shorts,MISAKI MAKEUP,2025-04-15,1025322,25058,112,13.840518242865372
145,ソウル観光,韓国旅行前のリアル…🇰🇷,宮永えいと,2023-11-21,1004291,16355,158,13.819793373602417
146,韓国旅行,韓国旅行前のリアル…🇰🇷,宮永えいと,2023-11-21,1004291,16355,158,13.819793373602417
147,韓国コスメ,韓国の生活音を再現したい‼️#生活音 #コスメ #jc #韓国,🌀おとちゃ🪐‪,2025-09-17,1003643,19637,455,13.81914793468156
148,韓国旅行,【コムドット】大富豪たちに1000万使った韓国旅行に連れて行ってもらった。,かずえいライフ　kazueilife,2024-05-07,982881,16148,380,13.798244351232084
149,ソウル観光,【90万回再生の保存版・ソウル旅行前に必見‼︎】韓国で300軒食べ歩いたソウル在住YouTuberがオススメする韓国の地元ごはんの美味しい食堂10選‼️,ノスタルジック KOREA by花緒Kao,2022-12-30,969263,15662,946,13.784292299586713
150,韓国コスメ,TIRTIRの下地使ったら悲しいこと起きたからみんな聞いて🥲 #コスメ #美容 #メイク #購入品紹介 #韓国コスメ,韓国オンニ【日韓コスメ・スキンケア】,2025-07-25,968829,5751,53,13.78384443688526
151,韓国旅行,乗る前に知りたかった😭正直リピなし航空会社✈️🇰🇷 #韓国 #韓国情報 #韓国旅行 #韓国旅行情報 #渡韓 #渡韓情報 #韓国最新情報 #shorts #short,ぼっちな韓国オタク🇰🇷みちゃん,2024-05-04,967244,6937,195,13.782207103255008
152,韓国コスメ,大人気のジェリーチークを徹底比較！#ジェリーチーク#チーク#韓国コスメ#fwee#ロムアンド#ヒンス#デイジーク,ミレの日常🎀,2025-04-17,925184,19679,48,13.737748996497228
153,韓国旅行,【韓国旅行🇰🇷】韓国で気になるご飯屋さん全部行って来たと言っても過言ではないし欲しいものも全部買った！！！,エミリンチャンネル,2025-02-19,906776,10037,657,13.71765183337677
154,韓国旅行,誰も教えてくれない😭韓国旅行にお金いくら持っていけばいいの？💸 #韓国 #韓国旅行 #韓国旅行情報 #渡韓 #渡韓情報 #short #shorts,ぼっちな韓国オタク🇰🇷みちゃん,2024-09-04,901737,13507,68,13.712079291219519
155,ソウル観光,誰も教えてくれない😭韓国旅行にお金いくら持っていけばいいの？💸 #韓国 #韓国旅行 #韓国旅行情報 #渡韓 #渡韓情報 #short #shorts,ぼっちな韓国オタク🇰🇷みちゃん,2024-09-04,901737,13507,68,13.712079291219519
156,韓国女子旅,誰も教えてくれない😭韓国旅行にお金いくら持っていけばいいの？💸 #韓国 #韓国旅行 #韓国旅行情報 #渡韓 #渡韓情報 #short #shorts,ぼっちな韓国オタク🇰🇷みちゃん,2024-09-04,901737,13507,68,13.712079291219519
157,韓国コスメ,韓国で別人になりました。#韓国コスメ #韓国スタジオ #韓国コスメ,まいぱん,2025-03-10,894366,26345,96,13.703871484458997
158,韓国旅行,韓国ソウル覇者の旅#1~ALL or NOTHING編~,ノージョブフドウch. 【nojob.fudou.ch】,2025-08-14,892768,19656,1837,13.702083147784132
159,ソウル観光,韓国ソウル覇者の旅#1~ALL or NOTHING編~,ノージョブフドウch. 【nojob.fudou.ch】,2025-08-14,892768,19656,1837,13.702083147784132
160,ソウル観光,韓国のショッピングでここは絶対はずせない👀🛍️ #韓国 #韓国ファッション #韓国観光 #韓国旅行 #韓国情報 #ソウル #ソウル旅行 #ソウル観光 #海外旅行 #NEWT,NEWT（ニュート）公式,2023-05-01,889049,25671,31,13.697908755884093
161,韓国ファッション,韓国のショッピングでここは絶対はずせない👀🛍️ #韓国 #韓国ファッション #韓国観光 #韓国旅行 #韓国情報 #ソウル #ソウル旅行 #ソウル観光 #海外旅行 #NEWT,NEWT（ニュート）公式,2023-05-01,889049,25671,31,13.697908755884093
